Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
99,03/07/2007,17,9,5,3183,353,4400,880,"['Avraham Balila Ruhama', 'Azoulay David', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Hilou Nadia', 'Yachimovich Shelly', 'Margi Yakov', 'Sa`ar Gideon', 'Sharoni Moshe', 'Eitan Michael', 'Hendel Zvi', 'Khenin Dov', 'Livnat Limor']","{'Avraham Balila Ruhama': 2218, 'Azoulay David': 0, 'Gabbay Eliahu': 18, 'Galon Zehava': 137, 'Galantee Itshac': 483, 'Hilou Nadia': 665, 'Yachimovich Shelly': 1350, 'Margi Yakov': 147, 'Sa`ar Gideon': 59, 'Sharoni Moshe': 11, 'Eitan Michael': 952, 'Hendel Zvi': 268, 'Khenin Dov': 1245, 'Livnat Limor': 30}",17_ptv_133441.json,
1,03/12/2007,17,25,7,4625,185,2531,361,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Ilatov Robert', 'Aflalo Eli', 'Ariel Uri Yehuda', 'Barakeh Mohammad', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Zeev Nissim', 'Zahalka Jamal', 'Tibi Ahmad', 'Tartman Esterina', 'Itzchaky Avigdor', 'Cohen Amnon', 'Cohen Yakov', 'Landver Sofa', 'Margi Yakov', 'Slomiansky Nissan', 'Porush Meir', 'Rivlin Reuven', 'Shemtov Lia', 'Schneller Otniel', 'Sharoni Moshe', 'Ben-Sasson Menahem', 'Glazer Elhanan', 'Yatom Dani', 'Katz Israel', 'Litzman Yakov', 'Melchior Michael', 'Solodkin Marina']","{'Avraham Balila Ruhama': 1668, 'Avital Colette': 8, 'Edelstein Yuli-Yoel': 0, 'Ilatov Robert': 0, 'Aflalo Eli': 0, 'Ariel Uri Yehuda': 45, 'Barakeh Mohammad': 118, 'Gabbay Eliahu': 1, 'Galon Zehava': 289, 'Galantee Itshac': 1, 'Zeev Nissim': 338, 'Zahalka Jamal': 9, 'Tibi Ahmad': 135, 'Tartman Esterina': 564, 'Itzchaky Avigdor': 1332, 'Cohen Amnon': 1, 'Cohen Yakov': 0, 'Landver Sofa': 0, 'Margi Yakov': 19, 'Slomiansky Nissan': 0, 'Porush Meir': 351, 'Rivlin Reuven': 562, 'Shemtov Lia': 1, 'Schneller Otniel': 1, 'Sharoni Moshe': 57, 'Ben-Sasson Menahem': 0, 'Glazer Elhanan': 1, 'Yatom Dani': 569, 'Katz Israel': 405, 'Litzman Yakov': 679, 'Melchior Michael': 1, 'Solodkin Marina': 1}",17_ptv_133485.json,
11,03/13/2007,17,10,1,2707,270,2091,2091,"['Avraham Balila Ruhama', 'Katz Israel', 'Porush Meir', 'Galantee Itshac', 'Edelstein Yuli-Yoel', 'Ariel Uri Yehuda', 'Tibi Ahmad', 'Barakeh Mohammad', 'Azoulay David', 'Erdan Gilad', 'Itzchaky Avigdor']","{'Avraham Balila Ruhama': 2091, 'Katz Israel': 238, 'Porush Meir': 213, 'Galantee Itshac': 27, 'Edelstein Yuli-Yoel': 7, 'Ariel Uri Yehuda': 286, 'Tibi Ahmad': 0, 'Barakeh Mohammad': 0, 'Azoulay David': 196, 'Erdan Gilad': 216, 'Itzchaky Avigdor': 1524}",17_ptv_133486.json,
12,03/19/2007,17,6,3,163,27,242,80,"['Avraham Balila Ruhama', 'Sharoni Moshe', 'Avital Colette', 'Gabbay Eliahu', 'Tibi Ahmad', 'Itzchaky Avigdor', 'Galon Zehava', 'Hasson Yoel', 'Edelstein Yuli-Yoel']","{'Avraham Balila Ruhama': 186, 'Sharoni Moshe': 111, 'Avital Colette': 56, 'Gabbay Eliahu': 0, 'Tibi Ahmad': 0, 'Itzchaky Avigdor': 16, 'Galon Zehava': 0, 'Hasson Yoel': 36, 'Edelstein Yuli-Yoel': 0}",17_ptv_133557.json,
13,03/19/2007,17,10,6,87,8,507,84,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Barakeh Mohammad', 'Gabbay Eliahu', 'Galon Zehava', 'Hermesh Shai', 'Tibi Ahmad', 'Yachimovich Shelly', 'Cohen Ran', 'Sa`ar Gideon', 'Sharoni Moshe', 'Landver Sofa', 'Rivlin Reuven', 'Shemtov Lia', 'Ilatov Robert']","{'Avraham Balila Ruhama': 487, 'Avital Colette': 0, 'Edelstein Yuli-Yoel': 0, 'Barakeh Mohammad': 0, 'Gabbay Eliahu': 0, 'Galon Zehava': 14, 'Hermesh Shai': 0, 'Tibi Ahmad': 0, 'Yachimovich Shelly': 6, 'Cohen Ran': 0, 'Sa`ar Gideon': 26, 'Sharoni Moshe': 52, 'Landver Sofa': 0, 'Rivlin Reuven': 9, 'Shemtov Lia': 0, 'Ilatov Robert': 0}",17_ptv_133558.json,
9,03/20/2007,17,2,1,962,481,334,334,"['Margi Yakov', 'Hermesh Shai', 'Tartman Esterina']","{'Margi Yakov': 515, 'Hermesh Shai': 447, 'Tartman Esterina': 334}",17_ptv_133559.json,
14,03/21/2007,17,8,1,249,31,0,0,"['Margi Yakov', 'Ilatov Robert', 'Erdan Gilad', 'Ben-Sasson Menahem', 'Galantee Itshac', 'Dotan Amira', 'Miller Alex', 'Sa`ar Gideon', 'Schneller Otniel']","{'Margi Yakov': 237, 'Ilatov Robert': 0, 'Erdan Gilad': 0, 'Ben-Sasson Menahem': 12, 'Galantee Itshac': 0, 'Dotan Amira': 0, 'Miller Alex': 0, 'Sa`ar Gideon': 0, 'Schneller Otniel': 0}",17_ptv_133593.json,
15,04/18/2007,17,1,1,0,0,116,116,"['Avraham Balila Ruhama', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 116, 'Sharoni Moshe': 0}",17_ptv_133596.json,
16,4/22/2007,17,13,3,3437,264,1570,523,"['Avraham Balila Ruhama', 'Edelstein Yuli-Yoel', 'Azoulay David', 'Amsellem Chaim', 'Ilatov Robert', 'Galon Zehava', 'Glazer Elhanan', 'Galantee Itshac', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Hermesh Shai', 'Itzchaky Avigdor', 'Marciano Yoram', 'Sa`ar Gideon', 'Schneller Otniel']","{'Avraham Balila Ruhama': 811, 'Edelstein Yuli-Yoel': 35, 'Azoulay David': 0, 'Amsellem Chaim': 0, 'Ilatov Robert': 0, 'Galon Zehava': 458, 'Glazer Elhanan': 0, 'Galantee Itshac': 224, 'Zeev Nissim': 549, 'Hilou Nadia': 301, 'Hasson Yoel': 0, 'Hermesh Shai': 410, 'Itzchaky Avigdor': 742, 'Marciano Yoram': 261, 'Sa`ar Gideon': 1216, 'Schneller Otniel': 0}",17_ptv_133604.json,
17,05/07/2007,17,11,2,430,39,797,398,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Ilatov Robert', 'Galantee Itshac', 'Zeev Nissim', 'Hasson Yoel', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 797, 'Avital Colette': 0, 'Edelstein Yuli-Yoel': 57, 'Ilatov Robert': 0, 'Galantee Itshac': 15, 'Zeev Nissim': 0, 'Hasson Yoel': 0, 'Margi Yakov': 0, 'Marciano Yoram': 0, 'Sa`ar Gideon': 60, 'Porush Meir': 243, 'Rivlin Reuven': 0, 'Sharoni Moshe': 55}",17_ptv_133653.json,
18,05/09/2007,17,18,3,1666,92,1892,630,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Azoulay David', 'Ilatov Robert', 'Ariel Uri Yehuda', 'Barakeh Mohammad', 'Galantee Itshac', 'Zeev Nissim', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Tartman Esterina', 'Rotem David', 'Marciano Yoram', 'Sa`ar Gideon', 'Sharoni Moshe', 'Beilin Yossi', 'Gafni Moshe', 'Vaknin Yitzhak', 'Tal David']","{'Avraham Balila Ruhama': 1485, 'Avital Colette': 0, 'Edelstein Yuli-Yoel': 185, 'Azoulay David': 151, 'Ilatov Robert': 0, 'Ariel Uri Yehuda': 401, 'Barakeh Mohammad': 196, 'Galantee Itshac': 0, 'Zeev Nissim': 29, 'Hasson Yoel': 0, 'Hermesh Shai': 0, 'Tibi Ahmad': 121, 'Tartman Esterina': 407, 'Rotem David': 103, 'Marciano Yoram': 0, 'Sa`ar Gideon': 218, 'Sharoni Moshe': 93, 'Beilin Yossi': 0, 'Gafni Moshe': 169, 'Vaknin Yitzhak': 0, 'Tal David': 0}",17_ptv_133695.json,
19,05/14/2007,17,12,3,1456,121,38,12,"['Margi Yakov', 'Edelstein Yuli-Yoel', 'Azoulay David', 'Galon Zehava', 'Galantee Itshac', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Tibi Ahmad', 'Tartman Esterina', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven', 'Sharoni Moshe']","{'Margi Yakov': 581, 'Edelstein Yuli-Yoel': 0, 'Azoulay David': 112, 'Galon Zehava': 10, 'Galantee Itshac': 62, 'Zeev Nissim': 98, 'Hilou Nadia': 0, 'Hasson Yoel': 90, 'Tibi Ahmad': 0, 'Tartman Esterina': 28, 'Marciano Yoram': 268, 'Sa`ar Gideon': 156, 'Porush Meir': 0, 'Rivlin Reuven': 0, 'Sharoni Moshe': 89}",17_ptv_133708.json,
11,05/15/2007,17,4,1,673,168,99,99,"['Edelstein Yuli-Yoel', 'Khenin Dov', 'Yachimovich Shelly', 'Cohen Ran', 'Sa`ar Gideon']","{'Edelstein Yuli-Yoel': 0, 'Khenin Dov': 458, 'Yachimovich Shelly': 99, 'Cohen Ran': 59, 'Sa`ar Gideon': 156}",17_ptv_133734.json,
111,05/21/2007,17,6,3,642,107,30,10,"['Margi Yakov', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Galon Zehava', 'Zeev Nissim', 'Tartman Esterina', 'Marciano Yoram', 'Sa`ar Gideon', 'Sharoni Moshe']","{'Margi Yakov': 360, 'Avital Colette': 9, 'Edelstein Yuli-Yoel': 0, 'Galon Zehava': 21, 'Zeev Nissim': 80, 'Tartman Esterina': 0, 'Marciano Yoram': 82, 'Sa`ar Gideon': 120, 'Sharoni Moshe': 0}",17_ptv_133767.json,
112,5/21/2007,17,4,0,60,15,0,0,"['Margi Yakov', 'Azoulay David', 'Halpert Shmuel', 'Zeev Nissim']","{'Margi Yakov': 60, 'Azoulay David': 0, 'Halpert Shmuel': 0, 'Zeev Nissim': 0}",17_ptv_133819.json,
113,5/21/2007,17,9,1,95,10,0,0,"['Margi Yakov', 'Edelstein Yuli-Yoel', 'Azoulay David', 'Ilatov Robert', 'Galantee Itshac', 'Whbee Majallie', 'Hermesh Shai', 'Hasson Yoel', 'Yachimovich Shelly', 'Sharoni Moshe']","{'Margi Yakov': 95, 'Edelstein Yuli-Yoel': 0, 'Azoulay David': 0, 'Ilatov Robert': 0, 'Galantee Itshac': 0, 'Whbee Majallie': 0, 'Hermesh Shai': 0, 'Hasson Yoel': 0, 'Yachimovich Shelly': 0, 'Sharoni Moshe': 0}",17_ptv_133820.json,
114,5/28/2007,17,11,1,1271,115,275,275,"['Margi Yakov', 'Edelstein Yuli-Yoel', 'Ilatov Robert', 'Gabbay Eliahu', 'Galantee Itshac', 'Whbee Majallie', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Tartman Esterina', 'Sa`ar Gideon', 'Porush Meir']","{'Margi Yakov': 505, 'Edelstein Yuli-Yoel': 14, 'Ilatov Robert': 0, 'Gabbay Eliahu': 137, 'Galantee Itshac': 0, 'Whbee Majallie': 234, 'Hasson Yoel': 0, 'Hermesh Shai': 0, 'Tibi Ahmad': 115, 'Tartman Esterina': 275, 'Sa`ar Gideon': 266, 'Porush Meir': 0}",17_ptv_133821.json,
115,05/29/2007,17,10,2,550,55,346,173,"['Margi Yakov', 'Ilatov Robert', 'Galantee Itshac', 'Whbee Majallie', 'Tibi Ahmad', 'Tartman Esterina', 'Yachimovich Shelly', 'Cohen Amnon', 'Kahlon Moshe', 'Miller Alex', 'Sa`ar Gideon', 'Rivlin Reuven']","{'Margi Yakov': 233, 'Ilatov Robert': 0, 'Galantee Itshac': 0, 'Whbee Majallie': 166, 'Tibi Ahmad': 0, 'Tartman Esterina': 346, 'Yachimovich Shelly': 0, 'Cohen Amnon': 0, 'Kahlon Moshe': 68, 'Miller Alex': 63, 'Sa`ar Gideon': 20, 'Rivlin Reuven': 0}",17_ptv_133822.json,
116,6/4/2007,17,10,3,394,39,505,168,"['Avraham Balila Ruhama', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir']","{'Avraham Balila Ruhama': 504, 'Gabbay Eliahu': 0, 'Galon Zehava': 1, 'Galantee Itshac': 0, 'Zeev Nissim': 2, 'Hilou Nadia': 0, 'Hasson Yoel': 0, 'Hermesh Shai': 0, 'Tibi Ahmad': 0, 'Margi Yakov': 0, 'Marciano Yoram': 6, 'Sa`ar Gideon': 386, 'Porush Meir': 0}",17_ptv_133886.json,
117,06/05/2007,17,17,4,1792,105,1076,269,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Ariel Uri Yehuda', 'Ben-Sasson Menahem', 'Barakeh Mohammad', 'Gabbay Eliahu', 'Galantee Itshac', 'Hilou Nadia', 'Hasson Yoel', 'Tibi Ahmad', 'Tartman Esterina', 'Itzchaky Avigdor', 'Margi Yakov', 'Marciano Yoram', 'Nudelman Michael', 'Sa`ar Gideon', 'Porush Meir', 'Rotem David', 'Rivlin Reuven', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 1076, 'Avital Colette': 0, 'Edelstein Yuli-Yoel': 0, 'Ariel Uri Yehuda': 0, 'Ben-Sasson Menahem': 315, 'Barakeh Mohammad': 0, 'Gabbay Eliahu': 0, 'Galantee Itshac': 0, 'Hilou Nadia': 0, 'Hasson Yoel': 147, 'Tibi Ahmad': 235, 'Tartman Esterina': 0, 'Itzchaky Avigdor': 337, 'Margi Yakov': 0, 'Marciano Yoram': 60, 'Nudelman Michael': 80, 'Sa`ar Gideon': 520, 'Porush Meir': 53, 'Rotem David': 0, 'Rivlin Reuven': 19, 'Sharoni Moshe': 26}",17_ptv_133887.json,
118,06/05/2007,17,10,5,2658,265,2530,506,"['Avraham Balila Ruhama', 'Edelstein Yuli-Yoel', 'Azoulay David', 'Ariel Uri Yehuda', 'Gafni Moshe', 'Whbee Majallie', 'Zeev Nissim', 'Hilou Nadia', 'Tibi Ahmad', 'Tartman Esterina', 'Yachimovich Shelly', 'Melchior Michael', 'Rivlin Reuven', 'Sharoni Moshe', 'Tirosh Ronit']","{'Avraham Balila Ruhama': 2510, 'Edelstein Yuli-Yoel': 378, 'Azoulay David': 0, 'Ariel Uri Yehuda': 288, 'Gafni Moshe': 517, 'Whbee Majallie': 155, 'Zeev Nissim': 34, 'Hilou Nadia': 0, 'Tibi Ahmad': 0, 'Tartman Esterina': 0, 'Yachimovich Shelly': 0, 'Melchior Michael': 198, 'Rivlin Reuven': 1088, 'Sharoni Moshe': 0, 'Tirosh Ronit': 20}",17_ptv_133888.json,
119,06/11/2007,17,6,4,12,2,715,178,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Ariel Uri Yehuda', 'Galon Zehava', 'Galantee Itshac', 'Zeev Nissim', 'Hasson Yoel', 'Yachimovich Shelly', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 599, 'Avital Colette': 0, 'Edelstein Yuli-Yoel': 0, 'Ariel Uri Yehuda': 0, 'Galon Zehava': 116, 'Galantee Itshac': 0, 'Zeev Nissim': 12, 'Hasson Yoel': 0, 'Yachimovich Shelly': 0, 'Sharoni Moshe': 0}",17_ptv_133943.json,
12,06/12/2007,17,9,2,3660,406,1727,863,"['Avraham Balila Ruhama', 'Edelstein Yuli-Yoel', 'Azoulay David', 'Ariel Uri Yehuda', 'Ilatov Robert', 'Glazer Elhanan', 'Gafni Moshe', 'Tartman Esterina', 'Nudelman Michael', 'Sa`ar Gideon', 'Rivlin Reuven']","{'Avraham Balila Ruhama': 1188, 'Edelstein Yuli-Yoel': 538, 'Azoulay David': 196, 'Ariel Uri Yehuda': 97, 'Ilatov Robert': 4, 'Glazer Elhanan': 0, 'Gafni Moshe': 72, 'Tartman Esterina': 539, 'Nudelman Michael': 0, 'Sa`ar Gideon': 1327, 'Rivlin Reuven': 1426}",17_ptv_133944.json,
121,6/18/2007,17,13,2,636,48,1020,510,"['Avraham Balila Ruhama', 'Azoulay David', 'Ilatov Robert', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galantee Itshac', 'Hasson Yoel', 'Hermesh Shai', 'Tibi Ahmad', 'Tartman Esterina', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven']","{'Avraham Balila Ruhama': 1020, 'Azoulay David': 71, 'Ilatov Robert': 0, 'Ariel Uri Yehuda': 60, 'Gabbay Eliahu': 0, 'Galantee Itshac': 13, 'Hasson Yoel': 92, 'Hermesh Shai': 0, 'Tibi Ahmad': 185, 'Tartman Esterina': 0, 'Margi Yakov': 0, 'Marciano Yoram': 0, 'Sa`ar Gideon': 213, 'Porush Meir': 2, 'Rivlin Reuven': 0}",17_ptv_134013.json,
122,06/19/2007,17,11,7,872,79,2780,397,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Azoulay David', 'Ilatov Robert', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Whbee Majallie', 'Zeev Nissim', 'Hilou Nadia', 'Tartman Esterina', 'Yachimovich Shelly', 'Landver Sofa', 'Sa`ar Gideon', 'Porush Meir', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 2435, 'Avital Colette': 31, 'Edelstein Yuli-Yoel': 0, 'Azoulay David': 84, 'Ilatov Robert': 26, 'Ariel Uri Yehuda': 78, 'Gabbay Eliahu': 71, 'Galon Zehava': 156, 'Galantee Itshac': 0, 'Whbee Majallie': 151, 'Zeev Nissim': 91, 'Hilou Nadia': 0, 'Tartman Esterina': 0, 'Yachimovich Shelly': 48, 'Landver Sofa': 110, 'Sa`ar Gideon': 188, 'Porush Meir': 84, 'Sharoni Moshe': 99}",17_ptv_134014.json,
123,06/19/2007,17,8,4,4099,512,1841,460,"['Avraham Balila Ruhama', 'Avital Colette', 'Oron Chaim', 'Ariel Uri Yehuda', 'Galantee Itshac', 'Gafni Moshe', 'Dotan Amira', 'Tartman Esterina', 'Litzman Yakov', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven']","{'Avraham Balila Ruhama': 714, 'Avital Colette': 422, 'Oron Chaim': 1306, 'Ariel Uri Yehuda': 345, 'Galantee Itshac': 0, 'Gafni Moshe': 435, 'Dotan Amira': 394, 'Tartman Esterina': 311, 'Litzman Yakov': 0, 'Sa`ar Gideon': 685, 'Porush Meir': 0, 'Rivlin Reuven': 1328}",17_ptv_134015.json,
124,06/20/2007,17,4,1,172,43,682,682,"['Avraham Balila Ruhama', 'Ilatov Robert', 'Galantee Itshac', 'Margi Yakov', 'Sa`ar Gideon']","{'Avraham Balila Ruhama': 682, 'Ilatov Robert': 0, 'Galantee Itshac': 109, 'Margi Yakov': 17, 'Sa`ar Gideon': 46}",17_ptv_134045.json,
125,06/25/2007,17,12,3,1456,121,1110,370,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Ariel Uri Yehuda', 'Gabbay Eliahu', 'Galon Zehava', 'Zeev Nissim', 'Hasson Yoel', 'Tibi Ahmad', 'Margi Yakov', 'Sa`ar Gideon', 'Porush Meir', 'Sharoni Moshe', 'Eitan Michael', 'Shalom Silvan']","{'Avraham Balila Ruhama': 586, 'Avital Colette': 264, 'Edelstein Yuli-Yoel': 0, 'Ariel Uri Yehuda': 0, 'Gabbay Eliahu': 0, 'Galon Zehava': 260, 'Zeev Nissim': 59, 'Hasson Yoel': 0, 'Tibi Ahmad': 7, 'Margi Yakov': 132, 'Sa`ar Gideon': 339, 'Porush Meir': 0, 'Sharoni Moshe': 0, 'Eitan Michael': 631, 'Shalom Silvan': 288}",17_ptv_134072.json,
126,06/26/2007,17,11,6,646,58,1753,292,"['Avraham Balila Ruhama', 'Avital Colette', 'Ilatov Robert', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Hermesh Shai', 'Tartman Esterina', 'Yachimovich Shelly', 'Margi Yakov', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 1246, 'Avital Colette': 86, 'Ilatov Robert': 0, 'Gabbay Eliahu': 155, 'Galon Zehava': 0, 'Galantee Itshac': 3, 'Zeev Nissim': 70, 'Hilou Nadia': 98, 'Hasson Yoel': 0, 'Hermesh Shai': 0, 'Tartman Esterina': 134, 'Yachimovich Shelly': 189, 'Margi Yakov': 2, 'Sa`ar Gideon': 242, 'Porush Meir': 174, 'Rivlin Reuven': 0, 'Sharoni Moshe': 0}",17_ptv_134080.json,
127,06/26/2007,17,14,5,4575,326,1868,373,"['Avraham Balila Ruhama', 'Avital Colette', 'Oron Chaim', 'Edelstein Yuli-Yoel', 'Ilatov Robert', 'Eitan Michael', 'Ariel Uri Yehuda', 'Galantee Itshac', 'Gafni Moshe', 'Dotan Amira', 'Hasson Yoel', 'Tibi Ahmad', 'Tartman Esterina', 'Yachimovich Shelly', 'Kahlon Moshe', 'Marciano Yoram', 'Sa`ar Gideon', 'Rivlin Reuven', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 979, 'Avital Colette': 0, 'Oron Chaim': 1036, 'Edelstein Yuli-Yoel': 0, 'Ilatov Robert': 0, 'Eitan Michael': 1024, 'Ariel Uri Yehuda': 4, 'Galantee Itshac': 0, 'Gafni Moshe': 797, 'Dotan Amira': 304, 'Hasson Yoel': 0, 'Tibi Ahmad': 210, 'Tartman Esterina': 330, 'Yachimovich Shelly': 255, 'Kahlon Moshe': 31, 'Marciano Yoram': 0, 'Sa`ar Gideon': 250, 'Rivlin Reuven': 1223, 'Sharoni Moshe': 0}",17_ptv_134081.json,
128,06/27/2007,17,3,1,0,0,155,155,"['Avraham Balila Ruhama', 'Margi Yakov', 'Sa`ar Gideon', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 155, 'Margi Yakov': 0, 'Sa`ar Gideon': 0, 'Sharoni Moshe': 0}",17_ptv_134082.json,
129,7/2/2007,17,12,3,221,18,2354,784,"['Avraham Balila Ruhama', 'Edelstein Yuli-Yoel', 'Azoulay David', 'Ilatov Robert', 'Ariel Uri Yehuda', 'Galantee Itshac', 'Hilou Nadia', 'Hasson Yoel', 'Hermesh Shai', 'Yachimovich Shelly', 'Margi Yakov', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir', 'Sharoni Moshe']","{'Avraham Balila Ruhama': 2354, 'Edelstein Yuli-Yoel': 0, 'Azoulay David': 0, 'Ilatov Robert': 0, 'Ariel Uri Yehuda': 2, 'Galantee Itshac': 10, 'Hilou Nadia': 0, 'Hasson Yoel': 0, 'Hermesh Shai': 0, 'Yachimovich Shelly': 0, 'Margi Yakov': 26, 'Marciano Yoram': 35, 'Sa`ar Gideon': 148, 'Porush Meir': 0, 'Sharoni Moshe': 0}",17_ptv_134111.json,
13,07/03/2007,17,24,7,5489,228,4610,658,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Azoulay David', 'Ilatov Robert', 'Ariel Uri Yehuda', 'Barakeh Mohammad', 'Gabbay Eliahu', 'Galon Zehava', 'Galantee Itshac', 'Whbee Majallie', 'Zeev Nissim', 'Hilou Nadia', 'Hasson Yoel', 'Margi Yakov', 'Sa`ar Gideon', 'Porush Meir', 'Rivlin Reuven', 'Sharoni Moshe', 'Erdan Gilad', 'Ben-Sasson Menahem', 'Glazer Elhanan', 'Vilan Avshalom', 'Tal David', 'Livnat Limor', 'Landver Sofa', 'Michaeli Avraham', 'Swaid Hanna', 'Solodkin Marina', 'Slomiansky Nissan', 'Rotem David']","{'Avraham Balila Ruhama': 3531, 'Avital Colette': 6, 'Edelstein Yuli-Yoel': 49, 'Azoulay David': 96, 'Ilatov Robert': 23, 'Ariel Uri Yehuda': 6, 'Barakeh Mohammad': 103, 'Gabbay Eliahu': 0, 'Galon Zehava': 316, 'Galantee Itshac': 8, 'Whbee Majallie': 6, 'Zeev Nissim': 610, 'Hilou Nadia': 163, 'Hasson Yoel': 0, 'Margi Yakov': 351, 'Sa`ar Gideon': 788, 'Porush Meir': 193, 'Rivlin Reuven': 1505, 'Sharoni Moshe': 103, 'Erdan Gilad': 486, 'Ben-Sasson Menahem': 0, 'Glazer Elhanan': 6, 'Vilan Avshalom': 19, 'Tal David': 502, 'Livnat Limor': 482, 'Landver Sofa': 45, 'Michaeli Avraham': 1, 'Swaid Hanna': 12, 'Solodkin Marina': 67, 'Slomiansky Nissan': 174, 'Rotem David': 448}",17_ptv_134112.json,
131,07/03/2007,17,6,2,4383,730,1405,702,"['Avraham Balila Ruhama', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Oron Chaim', 'Ayalon Ami', 'Ariel Uri Yehuda', 'Sa`ar Gideon', 'Rivlin Reuven']","{'Avraham Balila Ruhama': 1108, 'Avital Colette': 297, 'Edelstein Yuli-Yoel': 398, 'Oron Chaim': 773, 'Ayalon Ami': 322, 'Ariel Uri Yehuda': 271, 'Sa`ar Gideon': 1435, 'Rivlin Reuven': 1184}",17_ptv_134113.json,
132,07/04/2007,17,4,2,600,150,14,7,"['Avraham Balila Ruhama', 'Sa`ar Gideon', 'Edelstein Yuli-Yoel', 'Galantee Itshac', 'Margi Yakov', 'Shemtov Lia']","{'Avraham Balila Ruhama': 14, 'Sa`ar Gideon': 439, 'Edelstein Yuli-Yoel': 153, 'Galantee Itshac': 8, 'Margi Yakov': 0, 'Shemtov Lia': 0}",17_ptv_134204.json,
133,07/08/2007,17,7,0,634,90,0,0,"['Edelstein Yuli-Yoel', 'Ben-Sasson Menahem', 'Glazer Elhanan', 'Zeev Nissim', 'Sa`ar Gideon', 'Rotem David', 'Rivlin Reuven']","{'Edelstein Yuli-Yoel': 0, 'Ben-Sasson Menahem': 0, 'Glazer Elhanan': 0, 'Zeev Nissim': 98, 'Sa`ar Gideon': 362, 'Rotem David': 29, 'Rivlin Reuven': 145}",17_ptv_134205.json,
134,7/9/2007,17,10,1,1693,169,0,0,"['Edelstein Yuli-Yoel', 'Azoulay David', 'Ariel Uri Yehuda', 'Galantee Itshac', 'Zeev Nissim', 'Hermesh Shai', 'Tibi Ahmad', 'Tartman Esterina', 'Marciano Yoram', 'Sa`ar Gideon', 'Porush Meir']","{'Edelstein Yuli-Yoel': 0, 'Azoulay David': 29, 'Ariel Uri Yehuda': 128, 'Galantee Itshac': 15, 'Zeev Nissim': 395, 'Hermesh Shai': 0, 'Tibi Ahmad': 0, 'Tartman Esterina': 0, 'Marciano Yoram': 10, 'Sa`ar Gideon': 943, 'Porush Meir': 173}",17_ptv_134216.json,
